scenario;variable;answer_unbalanced;answer_balanced
1;movement;-1;-2
1;movement;-1;0
1;movement;1;2
1;movement;2;1
1;movement;-2;-2
1;movement;0;1
1;movement;-1;1
1;movement;1;2
1;movement;2;1
1;movement;0;1
1;movement;1;2
1;movement;1;2
1;movement;2;1
1;movement;2;2
1;movement;1;2
1;movement;1;0
