scenario;variable;answer_unbalanced;answer_balanced
2;water;-1;-1
2;water;-1;0
2;water;-1;0
2;water;0;0
2;water;1;1
2;water;0;0
2;water;0;0
2;water;-1;0
2;water;1;1
2;water;0;1
2;water;0;0
2;water;-1;0
2;water;0;0
2;water;-2;0
2;water;0;0
2;water;0;0
2;water;-1;0
2;water;0;2
2;water;-2;0
2;water;-1;0
